Código	Empresa	Status	Editar	Excluir
100	Krolik Telefonia em Nuvem	Ativa		
349	(CANCELADO) A Formula - P&L Farmácia Especial de Manipulação Ltda	Inativa		
134	(CANCELADO) Apoio Assessoria Imobiliária - Campos Gerias Assessoria imb. Ltda	Inativa		
375	(CANCELADO) Bpo Innova Brasil Rj Serviços Contabeis S/S Ltda	Inativa		
577	(CANCELADO) C D L - Camara de Dirigentes Lojistas de Vitoria	Inativa		
360	(CANCELADO) Credlis - Graciele Fernandes	Inativa		
567	(CANCELADO) Drogaria Dufarma Eireli	Inativa		
111	(CANCELADO) Expanseg - Corretora de Seguros Ltda	Inativa		
126	(CANCELADO) Farmácia Alquevitta Ltda	Inativa		
411	(CANCELADO) Impacto Prime - V.A de Lima Serviços Automotivos	Inativa		
377	(CANCELADO) Impacto Uberaba Centro Automotivo - Rr Minas Comércio de Pneus Ltda	Inativa		
148	(CANCELADO) Jireh Cred - Walter Tiago Pereira	Inativa		
484	(CANCELADO) José Cláudio Catisti de Seixas	Inativa		
524	(CANCELADO) L M Telecom - Lopes Maciel Telecom Ltda	Inativa		
582	(CANCELADO) Liege Caroline Silva Beniti	Inativa		
429	(CANCELADO) Mercedes Benz - Peres Diesel Veículos Ltda	Inativa		
149	(CANCELADO) Patrocar Joao Bim - Guarujá Auto Center Eireli Me	Inativa		
150	(CANCELADO) Patrocar Meira Junior - Dumont Auto Center Eireli Me	Inativa		
151	(CANCELADO) Patrocar Saudade - Clapp Auto Center Eireli Me	Inativa		
437	(CANCELADO) PFG Incorporações de Bens Próprios Ltda	Inativa		
299	(CANCELADO) Pizzaria Prima Classe - Rasafer Pizzaria Ltda Me	Inativa		
355	(CANCELADO) Prime Soluções Financeiras	Inativa		
400	(CANCELADO) RDR Transportes LTDA	Inativa		
550	(CANCELADO) Seven Tecnologia Ltda	Inativa		
339	(CANCELADO) Sidney Aquino Treinamento para desenv. Humano Eireli	Inativa		
472	(CANCELADO) Thyseenkrupp Infrastructure Brasil Ltda	Inativa		
135	(CANCELADO) Vazoli São José do Rio Pardo - Rubens Pedetri Flho	Inativa		
107	(CANCELADO) Vazoli Taquaritinga - Delvaz Serv. de Informações Cad. Ltda	Inativa		
496	(SRV PROPRIO) Metalsystem Informatica Ltda	Ativa		
119	A Calura casa e construção Ltda	Ativa		
357	Absoluta Seguros Consultoria e Corretora de Seguros SA	Ativa		
570	Ac Arquitetura e Consultoria Epp	Ativa		
553	Aclean Embalagens Descartáveis e Produtos Químicos Ltda Me	Ativa		
